policy,checkpoint,trained_reward_mode,eval_reward_mode,group,terrain,seed,status,settled,settling_steps,success,m4_terminal,m4_interventions,policy_steps,initial_goal_distance_m,final_goal_distance_m,progress_m,decision_time_s,energy_abs_j,energy_bracket_time_s,mean_cost_motion,mean_cost_stability,mean_cost_energy,sum_cost_motion,sum_cost_stability,sum_cost_energy,mean_progress_rate_mps,mean_energy_power_ratio,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,mean_action_vx_norm,mean_abs_action_yaw_norm,mean_action_height_norm,mean_requested_vx_mps,mean_abs_requested_yaw_rps,mean_requested_height_m,mean_requested_clearance_m,mean_applied_vx_mps,mean_abs_applied_yaw_rps,mean_applied_height_m,mean_applied_clearance_m,beta_name,beta_motion,beta_stability,beta_energy
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27027,success,True,5,True,False,0,38,1.8082846522923273,0.13914179003951974,1.6691428622528075,7.6,184.7727288020379,7.6,0.2254699239715777,0.7242182377792927,0.5564181768282335,8.567857110919952,27.520293035613125,21.14389071947287,0.21962406082273783,1.1128363536564672,0.00292543903691476,0.027145253418277313,0.009952362626791,0.044614147394895554,0.05559287386897363,0.013226370782113486,-0.029629309097991177,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27028,success,True,5,True,False,0,38,1.8082846522923273,0.13914179003951974,1.6691428622528075,7.6,184.7727288020379,7.6,0.2254699239715777,0.7242182377792927,0.5564181768282335,8.567857110919952,27.520293035613125,21.14389071947287,0.21962406082273783,1.1128363536564672,0.00292543903691476,0.027145253418277313,0.009952362626791,0.044614147394895554,0.05559287386897363,0.013226370782113486,-0.029629309097991177,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27029,success,True,5,True,False,0,38,1.8082846522923273,0.13914179003951974,1.6691428622528075,7.6,184.7727288020379,7.6,0.2254699239715777,0.7242182377792927,0.5564181768282335,8.567857110919952,27.520293035613125,21.14389071947287,0.21962406082273783,1.1128363536564672,0.00292543903691476,0.027145253418277313,0.009952362626791,0.044614147394895554,0.05559287386897363,0.013226370782113486,-0.029629309097991177,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27030,success,True,5,True,False,0,38,1.8082846522923273,0.13914179003951974,1.6691428622528075,7.6,184.7727288020379,7.6,0.2254699239715777,0.7242182377792927,0.5564181768282335,8.567857110919952,27.520293035613125,21.14389071947287,0.21962406082273783,1.1128363536564672,0.00292543903691476,0.027145253418277313,0.009952362626791,0.044614147394895554,0.05559287386897363,0.013226370782113486,-0.029629309097991177,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27031,success,True,5,True,False,0,38,1.8082846522923273,0.13914179003951974,1.6691428622528075,7.6,184.7727288020379,7.6,0.2254699239715777,0.7242182377792927,0.5564181768282335,8.567857110919952,27.520293035613125,21.14389071947287,0.21962406082273783,1.1128363536564672,0.00292543903691476,0.027145253418277313,0.009952362626791,0.044614147394895554,0.05559287386897363,0.013226370782113486,-0.029629309097991177,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27032,success,True,5,True,False,0,38,1.8082846522923273,0.13914179003951974,1.6691428622528075,7.6,184.7727288020379,7.6,0.2254699239715777,0.7242182377792927,0.5564181768282335,8.567857110919952,27.520293035613125,21.14389071947287,0.21962406082273783,1.1128363536564672,0.00292543903691476,0.027145253418277313,0.009952362626791,0.044614147394895554,0.05559287386897363,0.013226370782113486,-0.029629309097991177,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27033,success,True,5,True,False,0,38,1.8082846522923273,0.13914179003951974,1.6691428622528075,7.6,184.7727288020379,7.6,0.2254699239715777,0.7242182377792927,0.5564181768282335,8.567857110919952,27.520293035613125,21.14389071947287,0.21962406082273783,1.1128363536564672,0.00292543903691476,0.027145253418277313,0.009952362626791,0.044614147394895554,0.05559287386897363,0.013226370782113486,-0.029629309097991177,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27034,success,True,5,True,False,0,38,1.8082846522923273,0.13914179003951974,1.6691428622528075,7.6,184.7727288020379,7.6,0.2254699239715777,0.7242182377792927,0.5564181768282335,8.567857110919952,27.520293035613125,21.14389071947287,0.21962406082273783,1.1128363536564672,0.00292543903691476,0.027145253418277313,0.009952362626791,0.044614147394895554,0.05559287386897363,0.013226370782113486,-0.029629309097991177,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27035,success,True,5,True,False,0,38,1.8082846522923273,0.13914179003951974,1.6691428622528075,7.6,184.7727288020379,7.6,0.2254699239715777,0.7242182377792927,0.5564181768282335,8.567857110919952,27.520293035613125,21.14389071947287,0.21962406082273783,1.1128363536564672,0.00292543903691476,0.027145253418277313,0.009952362626791,0.044614147394895554,0.05559287386897363,0.013226370782113486,-0.029629309097991177,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27036,success,True,5,True,False,0,38,1.8082846522923273,0.13914179003951974,1.6691428622528075,7.6,184.7727288020379,7.6,0.2254699239715777,0.7242182377792927,0.5564181768282335,8.567857110919952,27.520293035613125,21.14389071947287,0.21962406082273783,1.1128363536564672,0.00292543903691476,0.027145253418277313,0.009952362626791,0.044614147394895554,0.05559287386897363,0.013226370782113486,-0.029629309097991177,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,0.21111857477379475,0.005290548312845395,0.2982222414541205,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_validation,rough_perlin,1,success,True,5,True,False,0,38,1.8088555838009333,0.1384207399118394,1.670434843889094,7.6,213.91322103645433,7.6,0.22525742699192536,0.11596084856538563,0.6441708428524658,8.559782225693164,4.406512245484654,24.478492028393703,0.2197940584064597,1.2883416857049317,0.010549076138173541,0.0890999673246855,0.029977470636367798,0.16470523178577423,0.06592576950788498,0.01685132617804859,-0.03695103369261089,0.213185153901577,0.006740530471219436,0.29778293797844335,0.060000000000000005,0.213185153901577,0.006740530471219436,0.29778293797844335,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_validation,rough_perlin,21,success,True,5,True,False,0,40,1.800255618426876,0.13145090136818557,1.6688047170586906,8.0,210.77544450371977,8.0,0.23924926295957963,0.07525262902075319,0.6029857590226022,9.569970518383185,3.0101051608301277,24.11943036090409,0.20860058963233633,1.2059715180452044,0.009542118848892821,0.06744675015018069,0.020739194005727768,0.12465021014213562,0.0671079388819635,0.015721707328339107,-0.03898953506723046,0.21342158777639275,0.006288682931335643,0.2976606278959662,0.06,0.21342158777639275,0.006288682931335643,0.2976606278959662,0.06,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_validation,rough_perlin,16,success,True,5,True,False,0,38,1.809161203944109,0.11546752170457623,1.6936936822395328,7.6,213.81427558479356,7.6,0.2214319601579716,0.06301927495008497,0.643872881956529,8.41441448600292,2.394732448103229,24.467169514348104,0.22285443187362275,1.2877457639130585,0.0062554572310457735,0.06087267317168946,0.017302636057138443,0.12966932356357574,0.07033978657502878,0.015507658303249627,-0.03931184019893408,0.21406795731500575,0.006203063321299851,0.2976412895880639,0.060000000000000005,0.21406795731500575,0.006203063321299851,0.2976412895880639,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_validation,rough_perlin,14,success,True,5,True,False,0,38,1.8080373010952755,0.12434996176036243,1.683687339334913,7.6,218.486471336388,7.6,0.22307774024096824,0.08953206102949698,0.6579425699388507,8.476954129156793,3.4022183191208852,25.001817657676327,0.2215378078072254,1.3158851398777012,0.008255042847634429,0.07039475643700845,0.018976621329784393,0.1497562974691391,0.07143728180151236,0.01519461313268709,-0.038614150332777125,0.21428745636030244,0.006077845253074835,0.29768315098003334,0.060000000000000005,0.21428745636030244,0.006077845253074835,0.29768315098003334,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_test,rough_perlin,27,success,True,5,True,False,0,38,1.803073794056723,0.11257616351864859,1.6904976305380743,7.6,224.1507914718749,7.6,0.22195762655623774,0.16893735631863668,0.6749999068261344,8.434389809137034,6.419619540108194,25.64999645939311,0.22243389875500982,1.3499998136522688,0.010329491569487875,0.10515651606525564,0.024575892835855484,0.21329806745052338,0.06771691917980972,0.016669672502566277,-0.03673762705569204,0.21354338383596194,0.006667869001026512,0.29779574237665846,0.060000000000000005,0.21354338383596194,0.006667869001026512,0.29779574237665846,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_test,rough_perlin,2,success,True,5,True,False,0,42,1.8266702729970166,0.10341473916379379,1.7232555338332227,8.4,249.9400268879632,8.4,0.2435631646081514,0.15968022928713696,0.6809787416764893,10.229652913542358,6.706569630059752,28.60110715041255,0.2051494683134789,1.3619574833529786,0.012526664343018017,0.0987220497942763,0.03366747871041298,0.2108369916677475,0.07241860794879142,0.015307994366767594,-0.03836416493036917,0.21448372158975829,0.0061231977467070394,0.2976981501041778,0.06,0.21448372158975829,0.0061231977467070394,0.2976981501041778,0.06,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_test,rough_perlin,3,success,True,5,True,False,0,37,1.8074238039438935,0.13909284265456726,1.6683309612893262,7.4,208.720410584736,7.4,0.2181873376200463,0.09810358409698623,0.6455207828703527,8.072931491941713,3.6298326115884905,23.884268966203052,0.22545012990396304,1.2910415657407057,0.006871031551804248,0.08134055039649149,0.014461235143244267,0.11363998055458069,0.06923509167658316,0.016650985297904274,-0.03724939355979095,0.21384701833531664,0.00666039411916171,0.29776503638641255,0.060000000000000005,0.21384701833531664,0.00666039411916171,0.29776503638641255,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_test,rough_perlin,19,success,True,5,True,False,0,37,1.7965344035659587,0.14971496201982262,1.6468194415461361,7.4,224.87353206036119,7.4,0.22182104027936897,0.14557714871339525,0.6954784060444997,8.207378490336652,5.3863545023956245,25.73270102364649,0.2225431677765049,1.3909568120889997,0.008069438291980788,0.09624205970030139,0.014560201205313206,0.16432629525661469,0.066808672873555,0.016967699000127363,-0.03685189612411164,0.213361734574711,0.0067870796000509435,0.2977888862325533,0.060000000000000005,0.213361734574711,0.0067870796000509435,0.2977888862325533,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough_test,rough_perlin,26,success,True,5,True,False,0,38,1.8005473980706206,0.12373644629829002,1.6768109517723306,7.6,201.86341735573492,7.6,0.22420872503744563,0.06612966753211344,0.6078844826377646,8.519931551422934,2.512927366220311,23.099610340235056,0.22063301997004356,1.2157689652755292,0.005890771826696901,0.06275871217079243,0.01907999999821186,0.1384878009557724,0.06843146760212748,0.01577879841620176,-0.0379214869616063,0.2136862935204255,0.006311519366480705,0.2977247107823036,0.060000000000000005,0.2136862935204255,0.006311519366480705,0.2977247107823036,0.060000000000000005,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27027,success,True,5,True,False,0,38,1.806892693656803,0.138874528816793,1.66801816484001,7.6,169.00139835600916,7.6,0.22565490709868258,0.011666389075218634,0.5089249401919073,8.574886469749938,0.4433227848583081,19.339147727292477,0.21947607432105395,1.0178498803838145,0.003112905100521934,0.0282772295341447,0.005896684713661671,0.04411069303750992,0.05311319526088865,0.012467331282095984,-0.019124867345549558,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,energy,0.15,0.15,0.7
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27028,success,True,5,True,False,0,38,1.806892693656803,0.138874528816793,1.66801816484001,7.6,169.00139835600916,7.6,0.22565490709868258,0.011666389075218634,0.5089249401919073,8.574886469749938,0.4433227848583081,19.339147727292477,0.21947607432105395,1.0178498803838145,0.003112905100521934,0.0282772295341447,0.005896684713661671,0.04411069303750992,0.05311319526088865,0.012467331282095984,-0.019124867345549558,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,energy,0.15,0.15,0.7
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27029,success,True,5,True,False,0,38,1.806892693656803,0.138874528816793,1.66801816484001,7.6,169.00139835600916,7.6,0.22565490709868258,0.011666389075218634,0.5089249401919073,8.574886469749938,0.4433227848583081,19.339147727292477,0.21947607432105395,1.0178498803838145,0.003112905100521934,0.0282772295341447,0.005896684713661671,0.04411069303750992,0.05311319526088865,0.012467331282095984,-0.019124867345549558,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,energy,0.15,0.15,0.7
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27030,success,True,5,True,False,0,38,1.806892693656803,0.138874528816793,1.66801816484001,7.6,169.00139835600916,7.6,0.22565490709868258,0.011666389075218634,0.5089249401919073,8.574886469749938,0.4433227848583081,19.339147727292477,0.21947607432105395,1.0178498803838145,0.003112905100521934,0.0282772295341447,0.005896684713661671,0.04411069303750992,0.05311319526088865,0.012467331282095984,-0.019124867345549558,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,energy,0.15,0.15,0.7
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27031,success,True,5,True,False,0,38,1.806892693656803,0.138874528816793,1.66801816484001,7.6,169.00139835600916,7.6,0.22565490709868258,0.011666389075218634,0.5089249401919073,8.574886469749938,0.4433227848583081,19.339147727292477,0.21947607432105395,1.0178498803838145,0.003112905100521934,0.0282772295341447,0.005896684713661671,0.04411069303750992,0.05311319526088865,0.012467331282095984,-0.019124867345549558,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,energy,0.15,0.15,0.7
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27032,success,True,5,True,False,0,38,1.806892693656803,0.138874528816793,1.66801816484001,7.6,169.00139835600916,7.6,0.22565490709868258,0.011666389075218634,0.5089249401919073,8.574886469749938,0.4433227848583081,19.339147727292477,0.21947607432105395,1.0178498803838145,0.003112905100521934,0.0282772295341447,0.005896684713661671,0.04411069303750992,0.05311319526088865,0.012467331282095984,-0.019124867345549558,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,energy,0.15,0.15,0.7
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27033,success,True,5,True,False,0,38,1.806892693656803,0.138874528816793,1.66801816484001,7.6,169.00139835600916,7.6,0.22565490709868258,0.011666389075218634,0.5089249401919073,8.574886469749938,0.4433227848583081,19.339147727292477,0.21947607432105395,1.0178498803838145,0.003112905100521934,0.0282772295341447,0.005896684713661671,0.04411069303750992,0.05311319526088865,0.012467331282095984,-0.019124867345549558,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,energy,0.15,0.15,0.7
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27034,success,True,5,True,False,0,38,1.806892693656803,0.138874528816793,1.66801816484001,7.6,169.00139835600916,7.6,0.22565490709868258,0.011666389075218634,0.5089249401919073,8.574886469749938,0.4433227848583081,19.339147727292477,0.21947607432105395,1.0178498803838145,0.003112905100521934,0.0282772295341447,0.005896684713661671,0.04411069303750992,0.05311319526088865,0.012467331282095984,-0.019124867345549558,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,energy,0.15,0.15,0.7
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27035,success,True,5,True,False,0,38,1.806892693656803,0.138874528816793,1.66801816484001,7.6,169.00139835600916,7.6,0.22565490709868258,0.011666389075218634,0.5089249401919073,8.574886469749938,0.4433227848583081,19.339147727292477,0.21947607432105395,1.0178498803838145,0.003112905100521934,0.0282772295341447,0.005896684713661671,0.04411069303750992,0.05311319526088865,0.012467331282095984,-0.019124867345549558,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,energy,0.15,0.15,0.7
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,flat,flat,27036,success,True,5,True,False,0,38,1.806892693656803,0.138874528816793,1.66801816484001,7.6,169.00139835600916,7.6,0.22565490709868258,0.011666389075218634,0.5089249401919073,8.574886469749938,0.4433227848583081,19.339147727292477,0.21947607432105395,1.0178498803838145,0.003112905100521934,0.0282772295341447,0.005896684713661671,0.04411069303750992,0.05311319526088865,0.012467331282095984,-0.019124867345549558,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,0.21062263905217773,0.004986932512838394,0.29885250795926704,0.060000000000000005,energy,0.15,0.15,0.7
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27027,success,True,5,True,False,0,39,1.8082846522923273,0.12230148627508282,1.6859831660172444,7.800000000000001,187.89576374428847,7.800000000000001,0.2298103900613391,0.720744514012339,0.551314499462821,8.962605212392225,28.10903604648122,21.501265479050016,0.21615168795092876,1.102628998925642,0.002679209202671607,0.027687677346982166,0.009214319288730621,0.045240405946969986,0.03791399204578155,0.02036062275352052,-0.008808113668167677,0.20758279840915633,0.008144249101408207,0.29946017800297486,0.060000000000000005,0.20758279840915633,0.008144249101408207,0.29946017800297486,0.060000000000000005,energy,0.15,0.15,0.7
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27028,success,True,5,True,False,0,39,1.8082846522923273,0.12230148627508282,1.6859831660172444,7.800000000000001,187.89576374428847,7.800000000000001,0.2298103900613391,0.720744514012339,0.551314499462821,8.962605212392225,28.10903604648122,21.501265479050016,0.21615168795092876,1.102628998925642,0.002679209202671607,0.027687677346982166,0.009214319288730621,0.045240405946969986,0.03791399204578155,0.02036062275352052,-0.008808113668167677,0.20758279840915633,0.008144249101408207,0.29946017800297486,0.060000000000000005,0.20758279840915633,0.008144249101408207,0.29946017800297486,0.060000000000000005,energy,0.15,0.15,0.7
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27029,success,True,5,True,False,0,39,1.8082846522923273,0.12230148627508282,1.6859831660172444,7.800000000000001,187.89576374428847,7.800000000000001,0.2298103900613391,0.720744514012339,0.551314499462821,8.962605212392225,28.10903604648122,21.501265479050016,0.21615168795092876,1.102628998925642,0.002679209202671607,0.027687677346982166,0.009214319288730621,0.045240405946969986,0.03791399204578155,0.02036062275352052,-0.008808113668167677,0.20758279840915633,0.008144249101408207,0.29946017800297486,0.060000000000000005,0.20758279840915633,0.008144249101408207,0.29946017800297486,0.060000000000000005,energy,0.15,0.15,0.7
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27030,success,True,5,True,False,0,39,1.8082846522923273,0.12230148627508282,1.6859831660172444,7.800000000000001,187.89576374428847,7.800000000000001,0.2298103900613391,0.720744514012339,0.551314499462821,8.962605212392225,28.10903604648122,21.501265479050016,0.21615168795092876,1.102628998925642,0.002679209202671607,0.027687677346982166,0.009214319288730621,0.045240405946969986,0.03791399204578155,0.02036062275352052,-0.008808113668167677,0.20758279840915633,0.008144249101408207,0.29946017800297486,0.060000000000000005,0.20758279840915633,0.008144249101408207,0.29946017800297486,0.060000000000000005,energy,0.15,0.15,0.7
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27031,success,True,5,True,False,0,39,1.8082846522923273,0.12230148627508282,1.6859831660172444,7.800000000000001,187.89576374428847,7.800000000000001,0.2298103900613391,0.720744514012339,0.551314499462821,8.962605212392225,28.10903604648122,21.501265479050016,0.21615168795092876,1.102628998925642,0.002679209202671607,0.027687677346982166,0.009214319288730621,0.045240405946969986,0.03791399204578155,0.02036062275352052,-0.008808113668167677,0.20758279840915633,0.008144249101408207,0.29946017800297486,0.060000000000000005,0.20758279840915633,0.008144249101408207,0.29946017800297486,0.060000000000000005,energy,0.15,0.15,0.7
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27032,success,True,5,True,False,0,39,1.8082846522923273,0.12230148627508282,1.6859831660172444,7.800000000000001,187.89576374428847,7.800000000000001,0.2298103900613391,0.720744514012339,0.551314499462821,8.962605212392225,28.10903604648122,21.501265479050016,0.21615168795092876,1.102628998925642,0.002679209202671607,0.027687677346982166,0.009214319288730621,0.045240405946969986,0.03791399204578155,0.02036062275352052,-0.008808113668167677,0.20758279840915633,0.008144249101408207,0.29946017800297486,0.060000000000000005,0.20758279840915633,0.008144249101408207,0.29946017800297486,0.060000000000000005,energy,0.15,0.15,0.7
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27033,success,True,5,True,False,0,39,1.8082846522923273,0.12230148627508282,1.6859831660172444,7.800000000000001,187.89576374428847,7.800000000000001,0.2298103900613391,0.720744514012339,0.551314499462821,8.962605212392225,28.10903604648122,21.501265479050016,0.21615168795092876,1.102628998925642,0.002679209202671607,0.027687677346982166,0.009214319288730621,0.045240405946969986,0.03791399204578155,0.02036062275352052,-0.008808113668167677,0.20758279840915633,0.008144249101408207,0.29946017800297486,0.060000000000000005,0.20758279840915633,0.008144249101408207,0.29946017800297486,0.060000000000000005,energy,0.15,0.15,0.7
beta_conditioned,results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,low_friction,low_friction,27034,success,True,5,True,False,0,39,1.8082846522923273,0.12230148627508282,1.6859831660172444,7.800000000000001,187.89576374428847,7.800000000000001,0.2298103900613391,0.720744514012339,0.551314499462821,8.962605212392225,28.10903604648122,21.501265479050016,0.21615168795092876,1.102628998925642,0.002679209202671607,0.027687677346982166,0.009214319288730621,0.045240405946969986,0.03791399204578155,0.02036062275352052,-0.008808113668167677,0.20758279840915633,0.008144249101408207,0.29946017800297486,0.060000000000000005,0.20758279840915633,0.008144249101408207,0.29946017800297486,0.060000000000000005,energy,0.15,0.15,0.7
